dauid_intersection,n_claims,dauid_num,dauid,n_intersections,base_claims,remainder
59010124-59010125-59010265,1,dauid1,59010124,3,0,1
59010124-59010125-59010265,1,dauid2,59010125,3,0,1
59010124-59010125-59010265,1,dauid3,59010265,3,0,1
59010125,2,dauid1,59010125,1,2,0
59010125-59010140,1,dauid1,59010125,2,0,1
59010125-59010140,1,dauid2,59010140,2,0,1
59010125-59010265,6,dauid1,59010125,2,3,0
59010125-59010265,6,dauid2,59010265,2,3,0
59010126,13,dauid1,59010126,1,13,0
59010128,4,dauid1,59010128,1,4,0
59010128-59010129,5,dauid1,59010128,2,2,1
59010128-59010129,5,dauid2,59010129,2,2,1
59010128-59010133,1,dauid1,59010128,2,0,1
59010128-59010133,1,dauid2,59010133,2,0,1
59010129,3,dauid1,59010129,1,3,0
59010129-59010133,1,dauid1,59010129,2,0,1
59010129-59010133,1,dauid2,59010133,2,0,1
59010130,5,dauid1,59010130,1,5,0
59010130-59010131,1,dauid1,59010130,2,0,1
59010130-59010131,1,dauid2,59010131,2,0,1
59010131-59010132-59010133,1,dauid1,59010131,3,0,1
59010131-59010132-59010133,1,dauid2,59010132,3,0,1
59010131-59010132-59010133,1,dauid3,59010133,3,0,1
59010132,1,dauid1,59010132,1,1,0
59010133,1,dauid1,59010133,1,1,0
59010135,2,dauid1,59010135,1,2,0
59010135-59010136,2,dauid1,59010135,2,1,0
59010135-59010136,2,dauid2,59010136,2,1,0
59010135-59010270,2,dauid1,59010135,2,1,0
59010135-59010270,2,dauid2,59010270,2,1,0
59010137,8,dauid1,59010137,1,8,0
59010139,1,dauid1,59010139,1,1,0
59010140-59010269,5,dauid1,59010140,2,2,1
59010140-59010269,5,dauid2,59010269,2,2,1
59010141,2,dauid1,59010141,1,2,0
59010141-59010142,3,dauid1,59010141,2,1,1
59010141-59010142,3,dauid2,59010142,2,1,1
59010143,4,dauid1,59010143,1,4,0
59010143-59010204,1,dauid1,59010143,2,0,1
59010143-59010204,1,dauid2,59010204,2,0,1
59010143-59010260,3,dauid1,59010143,2,1,1
59010143-59010260,3,dauid2,59010260,2,1,1
59010149,2,dauid1,59010149,1,2,0
59010149-59010163,3,dauid1,59010149,2,1,1
59010149-59010163,3,dauid2,59010163,2,1,1
59010150,2,dauid1,59010150,1,2,0
59010150-59010151,2,dauid1,59010150,2,1,0
59010150-59010151,2,dauid2,59010151,2,1,0
59010150-59010151-59010152,1,dauid1,59010150,3,0,1
59010150-59010151-59010152,1,dauid2,59010151,3,0,1
59010150-59010151-59010152,1,dauid3,59010152,3,0,1
59010150-59010152,1,dauid1,59010150,2,0,1
59010150-59010152,1,dauid2,59010152,2,0,1
59010151,4,dauid1,59010151,1,4,0
59010151-59010152,4,dauid1,59010151,2,2,0
59010151-59010152,4,dauid2,59010152,2,2,0
59010151-59010152-59010156,1,dauid1,59010151,3,0,1
59010151-59010152-59010156,1,dauid2,59010152,3,0,1
59010151-59010152-59010156,1,dauid3,59010156,3,0,1
59010152,1,dauid1,59010152,1,1,0
59010152-59010156,2,dauid1,59010152,2,1,0
59010152-59010156,2,dauid2,59010156,2,1,0
59010153,2,dauid1,59010153,1,2,0
59010153-59010157,1,dauid1,59010153,2,0,1
59010153-59010157,1,dauid2,59010157,2,0,1
59010154-59010155,2,dauid1,59010154,2,1,0
59010154-59010155,2,dauid2,59010155,2,1,0
59010154-59010156,3,dauid1,59010154,2,1,1
59010154-59010156,3,dauid2,59010156,2,1,1
59010155,2,dauid1,59010155,1,2,0
59010155-59010156-59010157,2,dauid1,59010155,3,0,2
59010155-59010156-59010157,2,dauid2,59010156,3,0,2
59010155-59010156-59010157,2,dauid3,59010157,3,0,2
59010155-59010157,1,dauid1,59010155,2,0,1
59010155-59010157,1,dauid2,59010157,2,0,1
59010156-59010158-59010159,1,dauid1,59010156,3,0,1
59010156-59010158-59010159,1,dauid2,59010158,3,0,1
59010156-59010158-59010159,1,dauid3,59010159,3,0,1
59010157-59010158,1,dauid1,59010157,2,0,1
59010157-59010158,1,dauid2,59010158,2,0,1
